0.0, -5.253806874197633
0.5, -26.163051841238982
1.0, -42.280743353667795
1.5, -67.81712580111656
2.0, -64.06424959508973
2.5, -75.68083410721377
3.0, -61.100138005094536
3.5, -39.01023332485238
4.0, -13.079039255658314
4.5, 18.203195835954705
5.0, 44.93050687079871
5.5, 102.40331665201822
6.0, 138.95641053926497
6.5, 186.56599159005984
7.0, 220.48481542903596
7.5, 252.29021352241818
8.0, 253.35196428020944
8.5, 236.5527849399702
9.0, 210.97712328549395
9.5, 165.0855938624344
10.0, 117.54983419814707
10.5, 68.54175262537181
11.0, 15.734159835419637
11.5, -24.581970625090747
12.0, -76.4759539382782
12.5, -122.0017637656583
13.0, -173.66718951104343
13.5, -212.22426846353744
14.0, -239.78191040617418
14.5, -251.516958792722
15.0, -249.10718864622748
15.5, -223.1917140644936
16.0, -177.65087658728916
16.5, -133.28914936051893
17.0, -85.79866996167537
17.5, -46.85875668258872
18.0, -12.252829105837975
18.5, 18.588158997687735
19.0, 42.356867550636956
19.5, 62.94931756879983
20.0, 74.06520851200679
20.5, 70.98126601529663
21.0, 62.46533208948686
21.5, 45.87434267945655
22.0, 23.55495475945875
22.5, -1.7143385521363672
23.0, -23.3215554891513
23.5, -47.77113941424569
24.0, -62.443741644784495
24.5, -77.06368139894145
25.0, -71.19264627553585
25.5, -59.28343673691277
26.0, -36.95639405378314
26.5, -9.223152721591813
27.0, 21.50723818368498
27.5, 58.4861113098228
28.0, 96.92526563766366
28.5, 146.52720316289378
29.0, 190.58447593156683
29.5, 227.36779139133216
30.0, 251.41789730508333
30.5, 251.2800040100543
31.0, 233.25557344079562
31.5, 202.30698999442768
32.0, 162.37367352882146
32.5, 111.1983387481034
33.0, 63.331885888981034
33.5, 17.27226018439698
34.0, -30.90898135557526
34.5, -84.26804306512258
35.0, -131.4586961282565
35.5, -176.77074443400593
36.0, -212.17167355601788
36.5, -244.3303991534388
37.0, -255.4141721597447
37.5, -246.49507472701055
38.0, -216.3103736811866
38.5, -175.73304997429275
39.0, -127.43388930037578
39.5, -81.33708737523105
40.0, -46.043716148635376
40.5, -8.595090122467733
41.0, 20.709027267043066
41.5, 46.78668420183647
42.0, 64.39003299443245
42.5, 74.17374396238434
43.0, 74.75185130242485
43.5, 58.118427861421026
44.0, 36.783058976537816
44.5, 18.156861043965417
45.0, -4.883336607445431
45.5, -28.078061024249045
46.0, -46.4234938109379
46.5, -62.010733222533524
47.0, -69.14855703083785
47.5, -71.16672327053017
48.0, -53.56531840859854
48.5, -36.74352489999371
49.0, -9.512777738572659
49.5, 15.40385511255688
50.0, 57.03332982193325
