"rotorangle","Torque"
0.0,0.011186266211613031
0.125,0.05847438890938656
0.25,0.10627853317662912
0.375,0.15169282934534672
0.5,0.1927810831074424
0.625,0.22796572378596433
0.75,0.2585567899577848
0.875,0.28400996639096027
1.0,0.30454457726447515
1.125,0.31952728357533966
1.25,0.32882883624642906
1.375,0.33273984921259814
1.5,0.3317203301695112
1.625,0.3268388519065428
1.75,0.31811129069325367
1.875,0.30601380360589375
2.0,0.29041741559930134
2.125,0.2722358873869956
2.25,0.25235968833611266
2.375,0.231104416744848
2.5,0.20901054593753648
2.625,0.18545941990684048
2.75,0.16114338797071065
2.875,0.13714208971657432
3.0,0.11525112658934904
3.125,0.09471413672900568
3.25,0.07486176289440011
3.375,0.056975949119130814
3.5,0.04198013857089866
3.625,0.029488220394236455
3.75,0.018569599265165687
3.875,0.009225153214513912
4.0,0.0015168170524464896
4.125,-0.0050221537186775685
4.25,-0.01060424652691648
4.375,-0.015399618220602375
4.5,-0.01936928500625752
4.625,-0.02213499427767871
4.75,-0.02382288926947956
4.875,-0.024613752418636455
5.0,-0.02437333498829
5.125,-0.0229456659752404
5.25,-0.02099476957848811
5.375,-0.019212806897515616
5.5,-0.017460822728229144
5.625,-0.015846129245042473
5.75,-0.014929953456970952
5.875,-0.014170751113994672
6.0,-0.013047078868504832
6.125,-0.011858566797120712
6.25,-0.010534814103755176
6.375,-0.008558793047742624
6.5,-0.006198819708015083
6.625,-0.004030658676915416
6.75,-0.001871696351179237
6.875,0.0003360373516999952
7.0,0.002026300985106961
7.125,0.003001329809795225
7.25,0.0035799907894532306
7.375,0.00361685332647747
7.5,0.003152199795732583
