"rotorangle","Torque"
0.0,-0.008428118451732776
0.125,0.03244321788568925
0.25,0.0724611239653356
0.375,0.11055996060415024
0.5,0.14602879879850217
0.625,0.17796260798540064
0.75,0.2059083941449104
0.875,0.22932483474489856
1.0,0.24810269188752967
1.125,0.2620548781343187
1.25,0.27131052790873805
1.375,0.27589346878612303
1.5,0.27614328256479814
1.625,0.27226949290885466
1.75,0.2647127206663899
1.875,0.253779685691756
2.0,0.2400100009355015
2.125,0.22379422196226992
2.25,0.20572483460216623
2.375,0.18621128580872592
2.5,0.1658514025524236
2.625,0.14506338661636056
2.75,0.12441617275241096
2.875,0.10428342638448793
3.0,0.0851504968098856
3.125,0.06728046552201106
3.25,0.05098329858236378
3.375,0.036345503562717305
3.5,0.02351783362900892
3.625,0.012426199574976472
3.75,0.0030765421124945287
3.875,-0.004731996284748633
4.0,-0.01107034256567964
4.125,-0.016188314836000865
4.25,-0.0201767119340162
4.375,-0.023289827854716727
4.5,-0.025576075508897175
4.625,-0.027252799573588768
4.75,-0.02834900489784968
4.875,-0.02904791946885267
5.0,-0.029343339366649065
5.125,-0.02938108482873896
5.25,-0.02912867750772813
5.375,-0.02873087441998812
5.5,-0.028125468647239624
5.625,-0.027418380623172495
5.75,-0.026551055449003862
5.875,-0.025635095167483992
6.0,-0.024577258105346386
6.125,-0.0234840432591014
6.25,-0.02227811807869679
6.375,-0.021057645004437863
6.5,-0.019739925251230344
6.625,-0.01841649732195613
6.75,-0.01701647584037281
6.875,-0.015629342342912703
7.0,-0.014179470959286688
7.125,-0.012761248076309257
7.25,-0.011293515975620337
7.375,-0.00988010608764228
7.5,-0.008435609750167912
