"rotorangle","Torque"
0.0,0.00025487451572733105
0.125,0.03762914412129158
0.25,0.07510412480960216
0.375,0.11064008038021576
0.5,0.14301947396061657
0.625,0.17309701994550497
0.75,0.19968154951339265
0.875,0.22191959285576512
1.0,0.23994445389135288
1.125,0.25394051906914966
1.25,0.2634720874897193
1.375,0.2687968255032399
1.5,0.27012744573643416
1.625,0.2675321781170268
1.75,0.26166287045268494
1.875,0.2526503574528905
2.0,0.24076968409343255
2.125,0.22650113351114648
2.25,0.2106632498795303
2.375,0.19305147997963729
2.5,0.17412088405725737
2.625,0.1549921597866588
2.75,0.13562740749834304
2.875,0.11605548161475936
3.0,0.09715073703239097
3.125,0.07967265130767635
3.25,0.06296463583358905
3.375,0.047495719785437034
3.5,0.033993091488446106
3.625,0.0220274467494182
3.75,0.011583010979736368
3.875,0.002688551570140524
4.0,-0.004625642957426981
4.125,-0.01056735861599644
4.25,-0.015414436986088575
4.375,-0.019109956617446994
4.5,-0.021862373587416217
4.625,-0.023709316415517295
4.75,-0.024936647134011582
4.875,-0.025503385608417712
5.0,-0.025437825032328935
5.125,-0.025049470318887743
5.25,-0.0242959130412642
5.375,-0.023247622427523817
5.5,-0.021957405887901457
5.625,-0.020584555365982807
5.75,-0.01909198275622601
5.875,-0.017479992403579735
6.0,-0.015945280669448607
6.125,-0.014360733176902816
6.25,-0.012854134309643129
6.375,-0.011376610002233176
6.5,-0.010002975758255624
6.625,-0.008674732515110663
6.75,-0.00739941677362493
6.875,-0.006258992451447148
7.0,-0.005120986524743442
7.125,-0.00409352610467275
7.25,-0.0030761489408497023
7.375,-0.0021465795914404574
7.5,-0.0011887273818749992
