"rotorangle","Torque"
0.0,-0.010170241378711784
0.125,0.029885978913426703
0.25,0.07008562489743081
0.375,0.1083356099364852
0.5,0.14367857268954945
0.625,0.17685658192424977
0.75,0.2065443954988028
0.875,0.2318722233083101
1.0,0.2530627480962945
1.125,0.2702746650757746
1.25,0.282843017991738
1.375,0.2909629352300843
1.5,0.2950323988770828
1.625,0.2949152177799687
1.75,0.29074757347749014
1.875,0.2831891355616652
2.0,0.27239489235700737
2.125,0.258513792330297
2.25,0.24236130962453264
2.375,0.224465071248446
2.5,0.20485372430555543
2.625,0.1840289973082632
2.75,0.16323624647569895
2.875,0.1422143252363988
3.0,0.12117857312471696
3.125,0.10136907871084504
3.25,0.08334758184817696
3.375,0.06640668412636397
3.5,0.051142005141618395
3.625,0.03827452945972801
3.75,0.02724482756841712
3.875,0.017761302182749128
4.0,0.009662081867183175
4.125,0.003031996177671484
4.25,-0.002408897696853568
4.375,-0.0072375300030366185
4.5,-0.011362388192974544
4.625,-0.014667235418539256
4.75,-0.017446009427561263
4.875,-0.020039747992585736
5.0,-0.022066968114647617
5.125,-0.023506358571286776
5.25,-0.024766225409790912
5.375,-0.0257839503637992
5.5,-0.026241979694546752
5.625,-0.026269789910907167
5.75,-0.026252664235733705
5.875,-0.025780124744279834
6.0,-0.02478157764708752
6.125,-0.02357789896555919
6.25,-0.022281018172548673
6.375,-0.0206185394950644
6.5,-0.018670836283647536
6.625,-0.016940533449194634
6.75,-0.015248954149529832
6.875,-0.013405882244462
7.0,-0.011648306317194048
7.125,-0.010190294989217944
7.25,-0.008599226547750848
7.375,-0.006829055811366891
7.5,-0.005222553155267012
