"rotorangle","Torque"
0.0,0.0011310666137958056
0.125,0.04448613760249508
0.25,0.08802513569731368
0.375,0.12921510510994905
0.5,0.16666669304712223
0.625,0.20138694087163633
0.75,0.2324114887454892
0.875,0.2583519578492274
1.0,0.27994562196189465
1.125,0.29725157210996994
1.25,0.3100705699081198
1.375,0.3174569985737842
1.5,0.3207918390896936
1.625,0.32033898333077626
1.75,0.31471354745587143
1.875,0.30554150480736014
2.0,0.29324564474883047
2.125,0.2777957158856562
2.25,0.25945771413917423
2.375,0.23933703781554305
2.5,0.2185298008608964
2.625,0.19631119517246465
2.75,0.1728207017921415
2.875,0.15007556571948977
3.0,0.12816614504583976
3.125,0.10645558723704712
3.25,0.0857201931951932
3.375,0.06748031115719033
3.5,0.05086272390630808
3.625,0.035892729125651765
3.75,0.02324294061868612
3.875,0.012909482264932735
4.0,0.004332173796188745
4.125,-0.0024923782457473495
4.25,-0.007977612815044655
4.375,-0.012310199079957977
4.5,-0.015589634940494528
4.625,-0.018104435421393273
4.75,-0.02005519043639315
4.875,-0.021319839189138455
5.0,-0.022001875563754526
5.125,-0.022332543524008007
5.25,-0.02230413921347601
5.375,-0.02194372908036948
5.5,-0.02131445749381665
5.625,-0.020598012473475456
5.75,-0.019831474781184914
5.875,-0.018904533412265105
6.0,-0.01788836464835776
6.125,-0.016901098433210936
6.25,-0.015860682410480848
6.375,-0.014741274350737929
6.5,-0.013607699710597792
6.625,-0.012435706963014832
6.75,-0.011163024859411072
6.875,-0.009757798202254551
7.0,-0.008381729077034192
7.125,-0.007052833435069211
7.25,-0.005734957605774825
7.375,-0.004318526021982218
7.5,-0.0029921395560113737
