"t","V"
-0.000005476451259583872,0
0.00006571741511500549,16.582914572864325
0.0001423877327491785,34.67336683417085
0.00021358159912376776,50.502512562814076
0.0002738225629791895,61.809045226130664
0.0003231106243154437,69.34673366834171
0.00037239868565169766,74.62311557788945
0.0004271631982475355,78.39195979899498
0.00048740416210295723,82.1608040201005
0.0005585980284775465,84.42211055276384
0.0006352683461117196,86.68341708542715
0.0006955093099671413,88.19095477386936
0.0007612267250821467,90.45226130653268
0.0008378970427163196,93.4673366834171
0.0009036144578313252,97.98994974874373
0.0009748083242059145,104.77386934673368
0.0010240963855421687,111.55778894472363
0.001067907995618839,119.09547738693469
0.0011117196056955093,126.63316582914575
0.0011610076670317633,134.9246231155779
0.0012157721796276016,143.96984924623118
0.0012705366922234394,150.75376884422113
0.0013253012048192773,155.27638190954775
0.0013964950711938663,159.0452261306533
0.0014676889375684554,163.56783919597993
0.0015224534501642936,165.82914572864325
0.0016593647316538883,170.35175879396988
0.0017634173055859801,171.85929648241208
0.001840087623220153,173.3668341708543
0.0019386637458926618,172.6130653266332
0.002064622124863089,171.10552763819098
0.002152245345016429,168.09045226130655
0.0022289156626506025,165.07537688442213
0.0023165388828039427,160.5527638190955
0.002404162102957284,156.03015075376888
0.002480832420591457,150.75376884422113
0.002535596933187294,143.21608040201008
0.002590361445783133,134.9246231155779
0.002634173055859803,125.12562814070353
0.002705366922234392,114.57286432160807
0.0027546549835706464,107.035175879397
0.0028148959474260677,99.49748743718594
0.0028806133625410733,94.97487437185931
0.0029572836801752466,91.20603015075379
0.0030394304490690034,88.19095477386936
0.0031544359255202626,85.17587939698494
0.0032420591456736036,82.1608040201005
0.0033242059145673604,78.39195979899498
0.003373493975903614,74.62311557788945
0.003417305585980285,70.10050251256283
0.0034556407447973708,64.82412060301509
0.003488499452354874,59.54773869346735
0.0035213581599123763,53.5175879396985
0.0035542168674698796,46.73366834170855
0.0035815991237677985,40.7035175879397
0.003614457831325301,31.658291457286424
0.0036527929901423875,23.366834170854275
0.00368565169769989,15.075376884422099
0.003713033953997809,8.291457286432177
0.003745892661555312,0
0.003921139101861993,-39.9497487437186
0.003986856516976999,-53.51758793969853
0.004041621029572837,-64.070351758794
0.004096385542168675,-72.36180904522612
0.004151150054764512,-76.88442211055278
0.004244249726177437,-81.40703517587943
0.004315443592552026,-84.42211055276383
0.004408543263964951,-87.43718592964828
0.0045345016429353775,-90.45226130653268
0.004605695509309967,-93.46733668341707
0.004665936473165389,-97.98994974874373
0.004715224534501643,-103.26633165829148
0.004786418400876232,-112.31155778894473
0.004846659364731654,-123.61809045226133
0.00488499452354874,-130.40201005025128
0.0049342825848849945,-139.44723618090458
0.0050054764512595835,-148.49246231155783
0.005093099671412925,-156.03015075376888
0.005158817086527929,-159.79899497487443
0.005235487404162103,-163.56783919597993
0.005355969331872946,-169.59798994974878
0.005470974808324206,-171.10552763819098
0.005596933187294634,-171.85929648241208
0.005706462212486309,-171.10552763819098
0.005783132530120482,-170.35175879396994
0.005876232201533406,-168.84422110552768
0.005952902519167579,-166.58291457286433
0.0060460021905805045,-162.06030150753773
0.006111719605695509,-158.29145728643218
0.006182913472070098,-153.76884422110558
0.00624315443592552,-148.49246231155783
0.006281489594742607,-143.21608040201008
0.006330777656078861,-134.92462311557793
0.0063855421686746985,-126.63316582914578
0.006434830230010953,-118.34170854271358
0.006478641840087623,-110.05025125628143
0.006516976998904709,-104.77386934673368
0.00656078860898138,-99.49748743718592
0.006610076670317634,-95.72864321608043
0.006681270536692223,-91.20603015075378
0.006763417305585981,-88.19095477386938
0.006851040525739321,-86.68341708542718
0.00692223439211391,-84.42211055276383
0.006987951807228916,-82.16080402010053
0.0070536692223439204,-79.14572864321613
0.007102957283680175,-75.37688442211058
0.007157721796276013,-71.60804020100505
0.007196056955093099,-65.5778894472362
0.007228915662650602,-60.30150753768845
0.0072562979189485215,-54.2713567839196
0.00728368017524644,-50.502512562814104
0.0073001095290251925,-45.97989949748748
